,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,2,4,0,0,4,0,0,1,0,0.0,1199.306,6,6.0,10.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)cc2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1OC
0,1,1,5,0,0,5,0,0,1,0,0.0,1379.509,7,7.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(OC(CO)Cc5ccc(O)cc5)c(OC)c4)cc3OC)CO)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)cc1
0,0,4,2,0,0,2,0,3,0,0,0.0,1135.222,6,7.0,8.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(C=CCO)c4)CO)cc2OC)CO)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)c(OC)c5)O4)c3)O2)c1
0,0,2,4,0,0,4,0,0,1,0,0.0,1199.306,6,6.0,10.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2OCC3C(OCC23)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(OC)c2)cc1OC
0,0,2,3,0,0,2,0,1,1,0,0.0,987.0609999999999,5,5.0,8.0,OCC(Oc1c(OC)cc(C2C(c3c(O2)c(OC)cc(C2C4COC(C4CO2)c2cc(OC)c(O)c(OC)c2)c3)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)cc1
0,0,5,4,0,0,6,0,1,1,0,0.0,1737.899,9,9.0,13.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)cc1OC)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)cc7)c(OC)c6)cc5)cc4)c(OC)c3)O2)c1
0,1,5,6,0,0,10,0,0,1,0,0.0,2310.55,12,12.0,17.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)cc3)CO)cc2)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4ccc(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)cc7)c(OC)c6)c(OC)c5)cc4)c(OC)c3)cc2)c(OC)c1
0,0,2,4,0,0,4,0,1,0,0,0.0,1199.306,6,7.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3OC)CO)cc2OC)CO)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)O2)c1
0,0,2,4,0,0,4,0,0,1,0,0.0,1199.306,6,6.0,10.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(OC)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,3,1,0,0,1,0,1,1,0,0.0,746.8059999999999,4,4.0,5.0,OCC1c2c(OC1c1cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc1)c(OC)cc(C1C3COC(C3CO1)c1cc(OC)c(O)c(OC)c1)c2
0,0,4,2,0,0,4,0,1,0,0,0.0,1139.254,6,7.0,8.0,OCC(Oc1c(OC)cc(C=CCO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(OC(CO)Cc6cc(OC)c(O)cc6)cc5)O4)c3)c(OC)c2)c(OC)c1
0,1,2,4,0,0,5,0,1,0,0,0.0,1349.4830000000002,7,8.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3ccc(C=CCO)cc3)CO)cc2OC)CO)cc1OC)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)cc4)c(OC)c3)O2)c1
0,1,0,5,0,0,4,0,1,0,0,0.0,1199.306,6,7.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)ccc(C=CCO)c4)CO)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1
